,prob_toxic,prob_constructive,like_count,treatment_score
1413,0.1798404,0.3811355,1462.0,7.148054337057245
1473,0.081625134,0.47722873,1348.0,7.143959370665551
3315,0.042657252,0.6016993,1302.0,7.143935140179934
22,0.02048268,0.13908774,1330.0,7.138282330215262
1425,0.032156147,0.19458519,1322.0,7.126496540274703
2096,0.019226074,0.5473798,1257.0,7.122747506711645
2119,0.021432023,0.17160219,1280.0,7.107729740907455
1467,0.009298885,0.19718185,1244.0,7.107633185264474
2726,0.019980038,0.3743664,1241.0,7.102820045347598
1430,0.035220183,0.28245366,1267.0,7.097665287684919
732,0.37751234,0.099992886,1720.0,7.09723433234401
5,0.0414203,0.61912376,1235.0,7.092848860704033
3951,0.0201057,0.18941686,1223.0,7.068943793847719
725,0.04686289,0.41120413,1222.0,7.0654242597010946
2745,0.04315203,0.45600423,1210.0,7.0623782085806335
2088,0.09611836,0.13908774,1388.0,7.058908977633109
1434,0.09525062,0.45732772,1251.0,7.058729750995533
726,0.78207105,0.19718185,1657.0,7.0581304009097785
718,0.02449606,0.10416048,1255.0,7.05416973802325
715,0.4269174,0.09592405,1660.0,7.0518909118886315
4585,0.17891699,0.10248133,1523.0,7.049497314196078
3952,0.06381883,0.40639198,1217.0,7.047106644628259
1443,0.055026773,0.23036613,1244.0,7.044442409107227
4586,0.2412222,0.2156048,1429.0,7.0352441683123175
4588,0.10566349,0.6975779,1199.0,7.034116403047176
740,0.03639866,0.3163268,1177.0,7.027789318475396
722,0.035220183,0.11907599,1239.0,7.025313234302372
2762,0.4575469,0.5328067,1371.0,7.0237732926723595
2735,0.022139108,0.5595307,1125.0,7.010380713148611
3953,0.03109552,0.57455313,1131.0,7.010079625311453
728,0.022021262,0.49494594,1122.0,7.005807482896271
3327,0.05378982,0.5656828,1120.0,6.9853926417413925
3954,0.013382856,0.14619578,1117.0,6.983976799368897
1435,0.13908891,0.5137541,1179.0,6.982851651241542
1426,0.02035702,0.5219356,1094.0,6.982746698536838
2749,0.102626406,0.27828732,1205.0,6.980370538602051
742,0.036162965,0.076340675,1231.0,6.9791452982646245
747,0.5885171,0.22228386,1474.0,6.9786486738227484
